date,country,portfolio,assetno,dc_capacity_mw,daily_generation_mwh,daily_irradiation_mwh,daily_ic_mwh,daily_expected_mwh,daily_budget_irradiation_mwh,expect_pr,actual_pr
7/1/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.34392,5.261,2.866616968,2.866616968,4.429032258,0.760556117,0.74689236
7/2/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,0.82616,1.117,2.866616968,2.866616968,4.429032258,0.760556117,0.869123376
7/3/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.18984,4.766,2.866616968,2.866616968,4.429032258,0.760556117,0.786475687
7/4/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.69019,4.255,2.866616968,2.866616968,4.429032258,0.760556117,0.742940151
7/5/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.03635,4.465,2.866616968,2.866616968,4.429032258,0.760556117,0.799099406
7/6/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.99301,6.24,2.866616968,2.866616968,4.429032258,0.760556117,0.751945298
7/7/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.3184,4.962,2.866616968,2.866616968,4.429032258,0.760556117,0.785854989
7/8/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.17995,3.09,2.866616968,2.866616968,4.429032258,0.760556117,0.829007564
7/9/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.21123,4.728,2.866616968,2.866616968,4.429032258,0.760556117,0.798112999
7/10/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.82635,4.205,2.866616968,2.866616968,4.429032258,0.760556117,0.7898241
7/11/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.59968,3.736,2.866616968,2.866616968,4.429032258,0.760556117,0.81768017
7/12/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,1.28751,1.716,2.866616968,2.866616968,4.429032258,0.760556117,0.881665338
7/13/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.57407,3.965,2.866616968,2.866616968,4.429032258,0.760556117,0.762864844
7/14/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,1.46769,2.094,2.866616968,2.866616968,4.429032258,0.760556117,0.823622302
7/15/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.20631,3.008,2.866616968,2.866616968,4.429032258,0.760556117,0.861904487
7/16/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.86413,4.342,2.866616968,2.866616968,4.429032258,0.760556117,0.775127861
7/17/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.82625,5.809,2.866616968,2.866616968,4.429032258,0.760556117,0.774002576
7/18/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,4.01072,6.363,2.866616968,2.866616968,4.429032258,0.760556117,0.740680414
7/19/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.6655,5.68,2.866616968,2.866616968,4.429032258,0.760556117,0.75832492
7/20/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.43233,5.36,2.866616968,2.866616968,4.429032258,0.760556117,0.752479524
7/21/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.34918,3.353,2.866616968,2.866616968,4.429032258,0.760556117,0.823290646
7/22/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.05527,4.629,2.866616968,2.866616968,4.429032258,0.760556117,0.775591168
7/23/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,1.63369,2.337,2.866616968,2.866616968,4.429032258,0.760556117,0.821450462
7/24/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.28593,5.032,2.866616968,2.866616968,4.429032258,0.760556117,0.76734049
7/25/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.58609,3.96,2.866616968,2.866616968,4.429032258,0.760556117,0.767394865
7/26/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.31181,3.248,2.866616968,2.866616968,4.429032258,0.760556117,0.83638562
7/27/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.60053,5.56,2.866616968,2.866616968,4.429032258,0.760556117,0.760960444
7/28/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.66556,5.606,2.866616968,2.866616968,4.429032258,0.760556117,0.768347494
7/29/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.77158,5.767,2.866616968,2.866616968,4.429032258,0.760556117,0.768499895
7/30/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.42569,5.387,2.866616968,2.866616968,4.429032258,0.760556117,0.747259636
7/31/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.223,4.856,2.866616968,2.866616968,4.429032258,0.760556117,0.77992361
8/1/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.85211,4.438,2.919472161,2.919472161,4.525806452,0.758016748,0.755178146
8/2/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,4.0369,6.319,2.919472161,2.919472161,4.525806452,0.758016748,0.750706327
8/3/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,1.02608,1.389,2.919472161,2.919472161,4.525806452,0.758016748,0.868059345
8/4/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,1.82624,2.475,2.919472161,2.919472161,4.525806452,0.758016748,0.867067858
8/5/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.60031,5.427,2.919472161,2.919472161,4.525806452,0.758016748,0.779561738
8/6/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.63684,5.621,2.919472161,2.919472161,4.525806452,0.758016748,0.760293101
8/7/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.84323,5.963,2.919472161,2.919472161,4.525806452,0.758016748,0.757359376
8/8/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,3.41657,5.318,2.919472161,2.919472161,4.525806452,0.758016748,0.754939988
8/9/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,2.37481,3.556,2.919472161,2.919472161,4.525806452,0.758016748,0.784761261
8/10/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,1.6987,2.598,2.919472161,2.919472161,4.525806452,0.758016748,0.768330335
8/11/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/12/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/13/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/14/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/15/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/16/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/17/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/18/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/19/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/20/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/21/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/22/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/23/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/24/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/25/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/26/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/27/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/28/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/29/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/30/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
8/31/2025,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,,,2.919472161,2.919472161,4.525806452,0.758016748,
